"Lithic bedrock"||51|77|102|||||||"14275744"|"3811483"
"Undefined"||51|77|102||||1|5|8|"14275750"|"3811484"
"Lithic bedrock"||20|36|51|||||||"14275754"|"3811485"
"Paralithic bedrock"||51|102|152|||||||"14275756"|"3811486"
"Lithic bedrock"||25|38|51|||||||"14275762"|"3811487"
"Lithic bedrock"||51|58|64|||||||"14275763"|"3811488"
"Paralithic bedrock"||51|102|152|||||||"14275773"|"3811489"
"Lithic bedrock"||61|82|102|||||||"14275776"|"3811490"
"Paralithic bedrock"||51|102|152|||||||"14275778"|"3811491"
"Paralithic bedrock"||0|4|8|||||||"14275780"|"3811492"
"Paralithic bedrock"||102|127|152|||||||"14275782"|"3811493"
"Paralithic bedrock"||102|127|152|||||||"14275783"|"3811494"
"Undefined"||76|89|102||||10|26|43|"14275786"|"3811495"
"Paralithic bedrock"||51|64|76|||||||"14275787"|"3811496"
"Undefined"||25|38|51||||1|5|8|"14275788"|"3811497"
"Lithic bedrock"||0|0|0|||||||"14275789"|"3811498"
"Paralithic bedrock"||51|77|102|||||||"14275790"|"3811499"
"Paralithic bedrock"||51|102|152|||||||"14275791"|"3811500"
"Paralithic bedrock"||0|4|8|||||||"14275794"|"3811501"
"Lithic bedrock"||102|102|102|||||||"14275795"|"3811502"
"Lithic bedrock"||0|0|0|||||||"14275796"|"3811503"
"Lithic bedrock"||10|18|25|||||||"14275797"|"3811504"
"Lithic bedrock"||15|27|38|||||||"14275798"|"3811505"
"Paralithic bedrock"||51|77|102|||||||"14275800"|"3811506"
"Undefined"||76|89|102||||1|5|8|"14275813"|"3811507"
"Undefined"||76|89|102||||1|5|8|"14275815"|"3811508"
"Undefined"||76|89|102||||1|5|8|"14275817"|"3811509"
"Lithic bedrock"||51|77|102|||||||"14275818"|"3811510"
"Lithic bedrock"||0|0|0|||||||"14275819"|"3811511"
"Lithic bedrock"||102|127|152|||||||"14275820"|"3811512"
"Lithic bedrock"||20|36|51|||||||"14275825"|"3811513"
"Paralithic bedrock"||51|77|102|||||||"14275826"|"3811514"
"Lithic bedrock"||10|18|25|||||||"14275836"|"3811515"
"Paralithic bedrock"||0|4|8|||||||"14275857"|"3811516"
"Paralithic bedrock"||51|77|102|||||||"14275870"|"3811517"
"Lithic bedrock"||10|18|25|||||||"14275871"|"3811518"
"Paralithic bedrock"||102|127|152|||||||"14275872"|"3811519"
"Paralithic bedrock"||51|102|152|||||||"14275873"|"3811520"
"Lithic bedrock"||10|18|25|||||||"14275877"|"3811521"
"Lithic bedrock"||0|0|0|||||||"14275879"|"3811522"
"Undefined"||51|77|102||||1|5|8|"14275899"|"3811523"
"Paralithic bedrock"||51|102|152|||||||"14275901"|"3811524"
"Lithic bedrock"||51|77|102|||||||"14275915"|"3811525"
"Lithic bedrock"||51|77|102|||||||"14275922"|"3811526"
"Lithic bedrock"||51|77|102|||||||"14275923"|"3811527"
"Lithic bedrock"||10|18|25|||||||"14275924"|"3811528"
"Lithic bedrock"||51|77|102|||||||"14275927"|"3811529"
"Lithic bedrock"||15|33|51|||||||"14275931"|"3811530"
"Lithic bedrock"||102|127|152|||||||"14275932"|"3811531"
"Lithic bedrock"||114|133|152|||||||"14275937"|"3811532"
"Lithic bedrock"||114|133|152|||||||"14275939"|"3811533"
"Lithic bedrock"||114|133|152|||||||"14275941"|"3811534"
"Lithic bedrock"||102|127|152|||||||"14275944"|"3811535"
"Paralithic bedrock"||51|102|152|||||||"14275952"|"3811536"
"Paralithic bedrock"||102|127|152|||||||"14275954"|"3811537"
"Undefined"||30|46|61||||1|5|8|"14275956"|"3811538"
"Lithic bedrock"||61|82|102|||||||"14275957"|"3811539"
"Lithic bedrock"||61|82|102|||||||"14275964"|"3811540"
"Lithic bedrock"||13|45|76|||||||"14275967"|"3811541"
"Lithic bedrock"||10|18|25|||||||"14275968"|"3811542"
"Paralithic bedrock"||51|102|152|||||||"14275969"|"3811543"
"Lithic bedrock"||0|0|0|||||||"14275971"|"3811544"
"Lithic bedrock"||0|0|0|||||||"14275975"|"3811545"
"Paralithic bedrock"||51|102|152|||||||"14275976"|"3811546"
"Lithic bedrock"||10|18|25|||||||"14275977"|"3811547"
"Paralithic bedrock"||51|77|102|||||||"14275979"|"3811548"
"Lithic bedrock"||51|102|152|||||||"14275980"|"3811549"
"Undefined"||20|34|48||||1|5|8|"14275980"|"3811550"
"Paralithic bedrock"||51|102|152|||||||"14275981"|"3811551"
"Paralithic bedrock"||102|127|152|||||||"14275982"|"3811552"
"Undefined"||25|38|51||||1|5|8|"14275982"|"3811553"
"Lithic bedrock"||5|15|25|||||||"14275983"|"3811554"
"Paralithic bedrock"||51|77|102|||||||"14275990"|"3811555"
"Lithic bedrock"||13|45|76|||||||"14275999"|"3811556"
"Lithic bedrock"||3|14|25|||||||"14276000"|"3811557"
"Lithic bedrock"||0|0|0|||||||"14276001"|"3811558"
"Lithic bedrock"||51|77|102|||||||"14276005"|"3811559"
"Lithic bedrock"||33|42|51|||||||"14276008"|"3811560"
"Lithic bedrock"||25|38|51|||||||"14276011"|"3811561"
"Lithic bedrock"||5|15|25|||||||"14276013"|"3811562"
"Lithic bedrock"||8|17|25|||||||"14276014"|"3811563"
"Lithic bedrock"||5|15|25|||||||"14276015"|"3811564"
"Lithic bedrock"||8|14|20|||||||"14276016"|"3811565"
"Lithic bedrock"||8|17|25|||||||"14276017"|"3811566"
"Lithic bedrock"||5|12|18|||||||"14276018"|"3811567"
"Lithic bedrock"||5|15|25|||||||"14276019"|"3811568"
"Lithic bedrock"||102|127|152|||||||"14276020"|"3811569"
"Lithic bedrock"||102|127|152|||||||"14276021"|"3811570"
"Paralithic bedrock"||51|102|152|||||||"14276029"|"3811571"
"Lithic bedrock"||25|38|51|||||||"14276037"|"3811572"
"Lithic bedrock"||102|127|152|||||||"14276039"|"3811573"
"Lithic bedrock"||51|65|79|||||||"14276040"|"3811574"
"Lithic bedrock"||51|77|102|||||||"14276042"|"3811575"
"Lithic bedrock"||127|155|183|||||||"14276043"|"3811576"
"Paralithic bedrock"||51|102|152|||||||"14276045"|"3811577"
"Paralithic bedrock"||61|76|91|||||||"14276047"|"3811578"
"Undefined"||20|61|102||||10|26|43|"14276049"|"3811579"
"Paralithic bedrock"||51|102|152|||||||"14276050"|"3811580"
"Lithic bedrock"||51|102|152|||||||"14276051"|"3811581"
"Undefined"||20|34|48||||1|5|8|"14276051"|"3811582"
"Lithic bedrock"||51|70|89|||||||"14276052"|"3811583"
"Lithic bedrock"||51|77|102|||||||"14276053"|"3811584"
"Paralithic bedrock"||51|102|152|||||||"14276054"|"3811585"
"Paralithic bedrock"||102|112|122|||||||"14276058"|"3811586"
"Paralithic bedrock"||76|89|102|||||||"14276059"|"3811587"
"Paralithic bedrock"||76|89|102|||||||"14276060"|"3811588"
"Lithic bedrock"||38|45|51|||||||"14276063"|"3811589"
"Lithic bedrock"||41|46|51|||||||"14276064"|"3811590"
||10|67|124|||||||"14276068"|"3811591"
"Paralithic bedrock"||51|102|152|||||||"14276069"|"3811592"
"Lithic bedrock"||51|70|89|||||||"14276070"|"3811593"
"Lithic bedrock"||51|87|122|||||||"14276072"|"3811594"
||102|102|102|||||||"14276079"|"3811595"
"Lithic bedrock"||102|127|152|||||||"14276082"|"3811596"
"Lithic bedrock"||102|127|152|||||||"14276085"|"3811597"
||61|82|102|||||||"14276086"|"3811598"
"Lithic bedrock"||51|71|91|||||||"14276087"|"3811599"
||102|102|102|||||||"14276088"|"3811600"
"Lithic bedrock"||38|45|51|||||||"14276092"|"3811601"
"Lithic bedrock"||38|45|51|||||||"14276094"|"3811602"
