"H1"||"H"||1||0|||23|||||0|0|0|0|0|0||||||||||||||||||||||||||||||||||||||||||||||15|20|25||||0.25|0.5|0.75||||||||42.343|91.7432|141.1433|0.12|0.13|0.14|||||||||||||0|1.5|2.9|150|200|250|30|45|60||||".05"|".05"||||||||||||||||||||||4.5|5.3|6|||||||||||||||||||||||||||||||||"14275986"|"41091104"
"H2"||"H"||2||23|||102|||||0|0|0|0|0|0||||||||||||||||||||||||||||||||||||||||||||||||||||0.25|0.5|0.75||||||||42.343|91.7432|141.1433|0.12|0.13|0.14|||||||||||||0|1.5|2.9|150|200|250|30|45|60||||".05"|".05"||||||||||||||||||||||4.5|5.3|6|||||||||||||||||||||||||||||||||"14275986"|"41091105"
"H3"||"H"||3||102|||152|||||0|0|0|0|0|0||||||||||||||||||||||||||||||||||||||||||||||||||||0.25|0.5|0.75||||||||42.343|91.7432|141.1433|0.12|0.13|0.14|||||||||||||0|1.5|2.9|150|200|250|30|45|60||||".05"|".05"||||||||||||||||||||||5.1|5.6|6|||||||||||||||||||||||||||||||||"14275986"|"41091106"
"H1"||"H"||1||0|||18|||||0|0|0|5|10|15||||||||||||||||||||||||||||||||||||||||||||||8|10|12||||0.25|0.5|0.75||||||||14.1143|28.2287|42.343|0.12|0.13|0.14|||||||||||||0|1.5|2.9|150|200|250|30|45|60||||".05"|||||||||||||||||||||||5.1|5.6|6|||||||||||||||||||||||||||||||||"14275987"|"41091107"
"H2"||"H"||2||18|||51|||||0|0|0|5|10|15||||||||||||||||||||||||||||||||||||||||||||||5|7.5|10||||0.25|0.5|0.75||||||||14.1143|28.2287|42.343|0.12|0.13|0.14|||||||||||||0|1.5|2.9|150|200|250|30|45|60||||".05"|||||||||||||||||||||||5.1|5.6|6|||||||||||||||||||||||||||||||||"14275987"|"41091108"
"H3"||"H"||3||51|||152|||||5|10|15|60|70|80|0|10|20|0|2.5|5|0|2.5|5|0|0|0||||||||||||||||||||||||||||0|0|0||||5|7.5|10||||1.1|1.2|1.3|||||1.2|||141.1433|141.1433|141.1433|0.01|0.02|0.03|||||||||||||0|1.5|2.9||||0|0|0||||".02"||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"14275987"|"41091109"
"H1"||"H"||1||0|||28|||||0|0|0|0|0|0||||||||||||||||||||||||||||||||||||||||||||||18|21.5|25||||0.25|0.5|0.75||||||||14.1143|28.2287|42.343|0.16|0.17|0.18|||||||||||||0|1.5|2.9|150|200|250|30|45|60||||".05"|||||||||||||||||||||||3.6|4|4.4|||||||||||||||||||||||||||||||||"14275988"|"41091110"
"H2"||"H"||2||28|||94|||||0|0|0|0|0|0||||||||||||||||||||||||||||||||||||||||||||||18|21.5|25||||0.25|0.5|0.75||||||||14.1143|28.2287|42.343|0.16|0.17|0.18|||||||||||||0|1.5|2.9|150|200|250|30|45|60||||".05"|||||||||||||||||||||||3.6|4|4.4|||||||||||||||||||||||||||||||||"14275988"|"41091111"
"H3"||"H"||3||94|||152|||||0|0|0|20|28|35||||||||||||||||||||||||||||||||||||||||||||||||||||0.25|0.5|0.75||||||||14.1143|28.2287|42.343|0.16|0.17|0.18|||||||||||||0|1.5|2.9|150|200|250|30|45|60||||".05"|||||||||||||||||||||||3.6|4.3|5|||||||||||||||||||||||||||||||||"14275988"|"41091112"
"H2"||"H"||2||30|||86||||||||0|3|5||||||||||||||17.4|||0.2|||0.4|||1.2|||5|||10.6|||52.6||||||||25|30|35||||||||||0.25|0.5|0.75||||||||14.1143|28.2287|42.343|0.12|0.13|0.14|||||||||||||0|1.5|2.9|150|200|250|30|45|60||||".05"|".05"||||||||||||||||||||||5.6|6.1|6.5|||||||||||||||||||||||||||||||||"14275989"|"41091113"
"H3"||"H"||3||86|||152||||||||70|80|90|0|10|20|0|2.5|5|0|2.5|5|0|2.5|5||||||||||||||||||||||||||||0|0|0||||||||||1.1|1.2|1.3|||||1.2|||141.1433|141.1433|141.1433|0.01|0.02|0.03|||||||||||||0|1.5|2.9||||0|0|0||||".02"|||||||||||||||||||||||6.1|6.7|7.3|||||||||||||||||||||||||||||||||"14275989"|"41091114"
"H1"||"H"||1||0|||30||||||||15|20|25||||||||||||||17.4|||0.2|||0.4|||1.2|||5|||10.6|||52.6||||||||25|30|35||||5|7.5|10||||0.25|0.5|0.75||||||||14.1143|28.2287|42.343|0.12|0.13|0.14|||||||||||||0|1.5|2.9|150|200|250|30|45|60||||".05"|".05"||||||||||||||||||||||5.1|5.3|5.5|||||||||||||||||||||||||||||||||"14275989"|"41091115"
"H2"||"H"||2||13|||64|||||0|3|5|40|45|50|90|95|100|85|90|95|75|85|95|65|75|85||33.3|||2.9|||4.1|||5.8|||10.5|||10|||31.7||||||||30|35|40||||5|7.5|10||||0.8|0.95|1.1|||||1.01|||14.1143|28.2287|42.343|0.11|0.12|0.13|||||23.4|||14.2|||42||0|1.5|2.9|40|45|50|10|15|20||||".05"|".15"|0|0|0|0|0|0|0|0|0|0|0|0||||||||||4.5|5|5.5|||||||||||||||||||||||||||||||||"14275990"|"41091116"
"H3"||"H"||3||64|||74||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1.4114|21.8772|42.343||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"14275990"|"41091117"
"H1"||"H"||1||0|||13|||||0|3|5|0|3|5|90|95|100|90|95|100|90|95|100|80|90|100||17.7|||0.2|||0.4|||1.2|||5.1|||10.8|||49.8||||||||30|32.5|35||||20|25|30||||0.8|0.95|1.1||||||||14.1143|28.2287|42.343|0.14|0.15|0.16|||||||||||51||0|1.5|2.9|50|55|60|10|15|20||||".20"|".20"|0|0|0|0|0|0|0|0|0|0|0|0||||||||||3.6|4.3|5|||||||||||||||||||||||||||||||||"14275990"|"41091118"
