"mixed"|"14275732"|"11176565"
"carbonatic"|"14275733"|"11176566"
"carbonatic"|"14275734"|"11176567"
"parasesquic"|"14275737"|"11176568"
"mixed"|"14275738"|"11176569"
"parasesquic"|"14275739"|"11176570"
"mixed"|"14275740"|"11176571"
"mixed"|"14275741"|"11176572"
"carbonatic"|"14275742"|"11176573"
"smectitic"|"14275743"|"11176574"
"not used"|"14275744"|"11176575"
"parasesquic"|"14275745"|"11176576"
"parasesquic"|"14275746"|"11176577"
"smectitic"|"14275747"|"11176578"
"smectitic"|"14275748"|"11176579"
"halloysitic"|"14275749"|"11176580"
"smectitic"|"14275750"|"11176581"
"mixed"|"14275751"|"11176582"
"smectitic"|"14275752"|"11176583"
"mixed"|"14275753"|"11176584"
"parasesquic"|"14275754"|"11176585"
"ferritic"|"14275755"|"11176586"
"not used"|"14275756"|"11176587"
"ferruginous"|"14275757"|"11176588"
"ferritic"|"14275758"|"11176589"
"sesquic"|"14275759"|"11176590"
"sesquic"|"14275760"|"11176591"
"ferruginous"|"14275761"|"11176592"
"mixed"|"14275762"|"11176593"
"mixed"|"14275763"|"11176594"
"ferruginous"|"14275764"|"11176595"
"parasesquic"|"14275765"|"11176596"
"parasesquic"|"14275766"|"11176597"
"ferruginous"|"14275767"|"11176598"
"kaolinitic"|"14275768"|"11176599"
"ferruginous"|"14275769"|"11176600"
"parasesquic"|"14275770"|"11176601"
"parasesquic"|"14275771"|"11176602"
"ferruginous"|"14275772"|"11176603"
"not used"|"14275773"|"11176604"
"ferruginous"|"14275774"|"11176605"
"kaolinitic"|"14275775"|"11176606"
"amorphic"|"14275776"|"11176607"
"ferritic"|"14275777"|"11176608"
"not used"|"14275778"|"11176609"
"mixed"|"14275779"|"11176610"
"parasesquic"|"14275781"|"11176611"
"ferrihydritic"|"14275782"|"11176612"
"ferrihydritic"|"14275783"|"11176613"
"mixed"|"14275784"|"11176614"
"ferrihumic"|"14275785"|"11176615"
"amorphic"|"14275786"|"11176616"
"isotic"|"14275787"|"11176617"
"amorphic"|"14275788"|"11176618"
"not used"|"14275790"|"11176619"
"not used"|"14275791"|"11176620"
"kaolinitic"|"14275792"|"11176621"
"parasesquic"|"14275793"|"11176622"
"not used"|"14275797"|"11176623"
"mixed"|"14275798"|"11176624"
"parasesquic"|"14275799"|"11176625"
"smectitic"|"14275800"|"11176626"
"smectitic"|"14275801"|"11176627"
"smectitic"|"14275802"|"11176628"
"halloysitic"|"14275803"|"11176629"
"smectitic"|"14275804"|"11176630"
"smectitic"|"14275805"|"11176631"
"smectitic"|"14275806"|"11176632"
"smectitic"|"14275807"|"11176633"
"smectitic"|"14275808"|"11176634"
"mixed"|"14275809"|"11176635"
"smectitic"|"14275810"|"11176636"
"halloysitic"|"14275811"|"11176637"
"not used"|"14275812"|"11176638"
"smectitic"|"14275813"|"11176639"
"not used"|"14275814"|"11176640"
"smectitic"|"14275815"|"11176641"
"mixed"|"14275816"|"11176642"
"smectitic"|"14275817"|"11176643"
"not used"|"14275818"|"11176644"
"not used"|"14275820"|"11176645"
"carbonatic"|"14275822"|"11176646"
"kaolinitic"|"14275823"|"11176647"
"mixed"|"14275824"|"11176648"
"parasesquic"|"14275825"|"11176649"
"kaolinitic"|"14275826"|"11176650"
"kaolinitic"|"14275827"|"11176651"
"kaolinitic"|"14275828"|"11176652"
"mixed"|"14275829"|"11176653"
"kaolinitic"|"14275830"|"11176654"
"mixed"|"14275831"|"11176655"
"kaolinitic"|"14275832"|"11176656"
"mixed"|"14275833"|"11176657"
"kaolinitic"|"14275834"|"11176658"
"parasesquic"|"14275835"|"11176659"
"not used"|"14275836"|"11176660"
"kaolinitic"|"14275837"|"11176661"
"mixed"|"14275838"|"11176662"
"parasesquic"|"14275839"|"11176663"
"parasesquic"|"14275840"|"11176664"
"parasesquic"|"14275841"|"11176665"
"ferruginous"|"14275842"|"11176666"
"sesquic"|"14275843"|"11176667"
"parasesquic"|"14275844"|"11176668"
"parasesquic"|"14275845"|"11176669"
"sesquic"|"14275846"|"11176670"
"parasesquic"|"14275847"|"11176671"
"parasesquic"|"14275848"|"11176672"
"isotic"|"14275849"|"11176673"
"kaolinitic"|"14275850"|"11176674"
"ferruginous"|"14275851"|"11176675"
"isotic"|"14275852"|"11176676"
"parasesquic"|"14275853"|"11176677"
"parasesquic"|"14275854"|"11176678"
"parasesquic"|"14275855"|"11176679"
"mixed"|"14275856"|"11176680"
"parasesquic"|"14275858"|"11176681"
"isotic"|"14275859"|"11176682"
"parasesquic"|"14275860"|"11176683"
"mixed"|"14275861"|"11176684"
"mixed"|"14275862"|"11176685"
"mixed"|"14275863"|"11176686"
"mixed"|"14275864"|"11176687"
"mixed"|"14275865"|"11176688"
"mixed"|"14275866"|"11176689"
"mixed"|"14275867"|"11176690"
"mixed"|"14275868"|"11176691"
"mixed"|"14275869"|"11176692"
"not used"|"14275870"|"11176693"
"not used"|"14275871"|"11176694"
"not used"|"14275872"|"11176695"
"not used"|"14275873"|"11176696"
"sesquic"|"14275874"|"11176697"
"kaolinitic"|"14275875"|"11176698"
"not used"|"14275876"|"11176699"
"not used"|"14275877"|"11176700"
"not used"|"14275878"|"11176701"
"ferrihydritic"|"14275881"|"11176702"
"ferrihydritic"|"14275882"|"11176703"
"mixed"|"14275883"|"11176704"
"amorphic"|"14275884"|"11176705"
"mixed"|"14275885"|"11176706"
"mixed"|"14275886"|"11176707"
"mixed"|"14275887"|"11176708"
"mixed"|"14275888"|"11176709"
"kaolinitic"|"14275889"|"11176710"
"not used"|"14275890"|"11176711"
"kaolinitic"|"14275891"|"11176712"
"mixed"|"14275892"|"11176713"
"amorphic"|"14275893"|"11176714"
"mixed"|"14275893"|"11176715"
"mixed"|"14275894"|"11176716"
"amorphic"|"14275895"|"11176717"
"mixed"|"14275895"|"11176718"
"not used"|"14275896"|"11176719"
"kaolinitic"|"14275897"|"11176720"
"carbonatic"|"14275898"|"11176721"
"carbonatic"|"14275899"|"11176722"
"carbonatic"|"14275900"|"11176723"
"not used"|"14275901"|"11176724"
"carbonatic"|"14275902"|"11176725"
"kaolinitic"|"14275903"|"11176726"
"kaolinitic"|"14275904"|"11176727"
"kaolinitic"|"14275905"|"11176728"
"kaolinitic"|"14275906"|"11176729"
"parasesquic"|"14275907"|"11176730"
"parasesquic"|"14275908"|"11176731"
"parasesquic"|"14275909"|"11176732"
"kaolinitic"|"14275910"|"11176733"
"parasesquic"|"14275911"|"11176734"
"kaolinitic"|"14275912"|"11176735"
"parasesquic"|"14275913"|"11176736"
"kaolinitic"|"14275914"|"11176737"
"kaolinitic"|"14275915"|"11176738"
"kaolinitic"|"14275916"|"11176739"
"kaolinitic"|"14275917"|"11176740"
"kaolinitic"|"14275918"|"11176741"
"mixed"|"14275919"|"11176742"
"kaolinitic"|"14275920"|"11176743"
"mixed"|"14275921"|"11176744"
"kaolinitic"|"14275922"|"11176745"
"kaolinitic"|"14275923"|"11176746"
"not used"|"14275924"|"11176747"
"parasesquic"|"14275925"|"11176748"
"parasesquic"|"14275926"|"11176749"
"kaolinitic"|"14275927"|"11176750"
"mixed"|"14275928"|"11176751"
"parasesquic"|"14275929"|"11176752"
"not used"|"14275930"|"11176753"
"amorphic"|"14275931"|"11176754"
"amorphic"|"14275932"|"11176755"
"amorphic"|"14275933"|"11176756"
"amorphic"|"14275934"|"11176757"
"mixed"|"14275935"|"11176758"
"amorphic"|"14275936"|"11176759"
"mixed"|"14275936"|"11176760"
"amorphic"|"14275937"|"11176761"
"amorphic"|"14275938"|"11176762"
"amorphic"|"14275939"|"11176763"
"amorphic"|"14275940"|"11176764"
"amorphic"|"14275941"|"11176765"
"amorphic"|"14275942"|"11176766"
"amorphic"|"14275943"|"11176767"
"ferrihydritic"|"14275944"|"11176768"
"amorphic"|"14275945"|"11176769"
"mixed"|"14275946"|"11176770"
"mixed"|"14275947"|"11176771"
"mixed"|"14275948"|"11176772"
"amorphic"|"14275949"|"11176773"
"mixed"|"14275950"|"11176774"
"parasesquic"|"14275951"|"11176775"
"not used"|"14275952"|"11176776"
"ferritic"|"14275953"|"11176777"
"ferrihydritic"|"14275954"|"11176778"
"ferruginous"|"14275955"|"11176779"
"parasesquic"|"14275956"|"11176780"
"amorphic"|"14275957"|"11176781"
"parasesquic"|"14275958"|"11176782"
"parasesquic"|"14275959"|"11176783"
"parasesquic"|"14275960"|"11176784"
"ferritic"|"14275961"|"11176785"
"parasesquic"|"14275962"|"11176786"
"parasesquic"|"14275963"|"11176787"
"amorphic"|"14275964"|"11176788"
"parasesquic"|"14275965"|"11176789"
"parasesquic"|"14275966"|"11176790"
"not used"|"14275967"|"11176791"
"not used"|"14275968"|"11176792"
"not used"|"14275969"|"11176793"
"not used"|"14275972"|"11176794"
"mixed"|"14275974"|"11176795"
"not used"|"14275976"|"11176796"
"not used"|"14275977"|"11176797"
"ferrihydritic"|"14275978"|"11176798"
"not used"|"14275979"|"11176799"
"mixed"|"14275980"|"11176800"
"not used"|"14275981"|"11176801"
"not used"|"14275982"|"11176802"
"not used"|"14275983"|"11176803"
"not used"|"14275984"|"11176804"
"not used"|"14275985"|"11176805"
"ferrihydritic"|"14275986"|"11176806"
"not used"|"14275987"|"11176807"
