"Extremely stony"|"82715208"|"22457146"
"Stony"|"82715213"|"22457147"
"Gravelly"|"82715222"|"22457148"
"Stony"|"82715242"|"22457150"
"Stony"|"82715367"|"22457162"
"Cobbly"|"82715626"|"22457173"
"Bouldery"|"82715633"|"22457176"
"Cobbly"|"82715642"|"22457177"
"Very gravelly"|"82715651"|"22457181"
"Extremely gravelly"|"82715674"|"22457184"
"Very gravelly"|"82715724"|"22457186"
"Gravelly"|"82715733"|"22457189"
"Stony"|"82715742"|"22457192"
"Cobbly"|"82715758"|"22457196"
"Cobbly"|"82715783"|"22457200"
"Very cobbly"|"82715801"|"22457204"
"Gravelly"|"82715924"|"22457213"
"Very cobbly"|"82715994"|"22457227"
"Very cobbly"|"82715999"|"22457230"
"Mucky"|"82716176"|"22457246"
"Extremely stony"|"82716194"|"22457250"
"Extremely stony"|"82716199"|"22457251"
"Very cobbly"|"82716217"|"22457255"
"Gravelly"|"82716219"|"22457256"
"Stony"|"82716242"|"22457258"
"Cobbly"|"82716253"|"22457261"
"Very stony"|"82716258"|"22457264"
"Gravelly"|"82716285"|"22457267"
"Cobbly"|"82716292"|"22457269"
"Very cobbly"|"82716319"|"22457273"
"Gravelly"|"82715236"|"22457149"
"Very gravelly"|"82715286"|"22457152"
"Gravelly"|"82715287"|"22457153"
"Mucky"|"82715320"|"22457154"
"Gravelly"|"82715321"|"22457155"
"Stony"|"82715368"|"22457163"
"Gravelly"|"82715420"|"22457165"
"Gravelly"|"82715520"|"22457168"
"Very cobbly"|"82715569"|"22457170"
"Gravelly"|"82715652"|"22457182"
"Stony"|"82715739"|"22457191"
"Extremely stony"|"82715752"|"22457194"
"Stony"|"82715755"|"22457195"
"Very stony"|"82715772"|"22457198"
"Gravelly"|"82715856"|"22457206"
"Extremely stony"|"82715906"|"22457209"
"Extremely stony"|"82715920"|"22457211"
"Bouldery"|"82715921"|"22457212"
"Cobbly"|"82715939"|"22457215"
"Very cobbly"|"82715955"|"22457218"
"Cobbly"|"82715971"|"22457219"
"Very stony"|"82715986"|"22457223"
"Extremely stony"|"82715987"|"22457224"
"Very stony"|"82715990"|"22457225"
"Extremely stony"|"82716004"|"22457231"
"Extremely stony"|"82716005"|"22457232"
"Extremely stony"|"82716138"|"22457241"
"Stony"|"82716187"|"22457248"
"Extremely stony"|"82716240"|"22457257"
"Very stony"|"82716254"|"22457262"
"Very stony"|"82716257"|"22457263"
"Very gravelly"|"82716322"|"22457274"
"Very stony"|"82716323"|"22457275"
"Stony"|"82715193"|"22457144"
"Stony"|"82715194"|"22457145"
"Stony"|"82715244"|"22457151"
"Very cobbly"|"82715329"|"22457157"
"Stony"|"82715360"|"22457159"
"Stony"|"82715362"|"22457160"
"Stony"|"82715363"|"22457161"
"Extremely stony"|"82715376"|"22457164"
"Extremely stony"|"82715595"|"22457171"
"Extremely bouldery"|"82715596"|"22457172"
"Cobbly"|"82715629"|"22457174"
"Very gravelly"|"82715644"|"22457178"
"Gravelly"|"82715645"|"22457179"
"Cobbly"|"82715646"|"22457180"
"Stony"|"82715713"|"22457185"
"Very gravelly"|"82715729"|"22457187"
"Extremely gravelly"|"82715730"|"22457188"
"Gravelly"|"82715861"|"22457207"
"Stony"|"82715879"|"22457208"
"Extremely stony"|"82715981"|"22457221"
"Very cobbly"|"82715995"|"22457228"
"Very cobbly"|"82715998"|"22457229"
"Extremely gravelly"|"82716045"|"22457233"
"Very gravelly"|"82716047"|"22457234"
"Very stony"|"82716078"|"22457236"
"Very stony"|"82716081"|"22457237"
"Very stony"|"82716128"|"22457240"
"Extremely gravelly"|"82716148"|"22457242"
"Cobbly"|"82716164"|"22457243"
"Very cobbly"|"82716165"|"22457244"
"Stony"|"82716213"|"22457253"
"Very stony"|"82716249"|"22457259"
"Very stony"|"82716262"|"22457266"
"Very gravelly"|"82716315"|"22457271"
"Gravelly"|"82715323"|"22457156"
"Stony"|"82715359"|"22457158"
"Stony"|"82715434"|"22457166"
"Gravelly"|"82715482"|"22457167"
"Stony"|"82715525"|"22457169"
"Extremely stony"|"82715632"|"22457175"
"Very gravelly"|"82715673"|"22457183"
"Gravelly"|"82715734"|"22457190"
"Extremely stony"|"82715750"|"22457193"
"Cobbly"|"82715759"|"22457197"
"Very stony"|"82715773"|"22457199"
"Cobbly"|"82715784"|"22457201"
"Cobbly"|"82715791"|"22457202"
"Gravelly"|"82715800"|"22457203"
"Very gravelly"|"82715825"|"22457205"
"Extremely stony"|"82715907"|"22457210"
"Gravelly"|"82715925"|"22457214"
"Very cobbly"|"82715941"|"22457216"
"Peaty"|"82715943"|"22457217"
"Very cobbly"|"82715975"|"22457220"
"Very stony"|"82715984"|"22457222"
"Extremely stony"|"82715991"|"22457226"
"Very stony"|"82716077"|"22457235"
"Very stony"|"82716082"|"22457238"
"Stony"|"82716127"|"22457239"
"Very stony"|"82716166"|"22457245"
"Stony"|"82716186"|"22457247"
"Very stony"|"82716193"|"22457249"
"Very stony"|"82716200"|"22457252"
"Stony"|"82716216"|"22457254"
"Very stony"|"82716250"|"22457260"
"Cobbly"|"82716261"|"22457265"
"Extremely cobbly"|"82716286"|"22457268"
"Extremely cobbly"|"82716293"|"22457270"
"Stony"|"82716316"|"22457272"
