"CL"|No |No |"Clay loam"|"41090513"|"81280857"
"CL"|No |No |"Clay loam"|"41090514"|"81280858"
"SIC"|No |No |"Silty clay"|"41090514"|"81280859"
"SIC"|No |Yes|"Silty clay"|"41090515"|"81280860"
"CL"|No |Yes|"Clay loam"|"41090516"|"81280861"
"GR-SIC"|No |Yes|"Gravelly silty clay"|"41090517"|"81280862"
"SIC"|No |No |"Silty clay"|"41090518"|"81280863"
"SICL"|No |No |"Silty clay loam"|"41090518"|"81280864"
"CL"|No |No |"Clay loam"|"41090518"|"81280865"
"UWB"|No |Yes|"Unweathered bedrock"|"41090519"|"81280866"
"SIC"|No |Yes|"Silty clay"|"41090520"|"81280867"
"ST-SICL"|No |Yes|"Stony silty clay loam"|"41090521"|"81280868"
"SIC"|No |Yes|"Silty clay"|"41090522"|"81280869"
"ST-SIC"|No |Yes|"Stony silty clay"|"41090523"|"81280870"
"UWB"|No |Yes|"Unweathered bedrock"|"41090524"|"81280871"
"SICL"|No |Yes|"Silty clay loam"|"41090525"|"81280872"
"SICL"|No |No |"Silty clay loam"|"41090526"|"81280873"
"SIC"|No |No |"Silty clay"|"41090526"|"81280874"
"SICL"|No |Yes|"Silty clay loam"|"41090527"|"81280875"
"SIC"|No |No |"Silty clay"|"41090528"|"81280876"
"SICL"|No |No |"Silty clay loam"|"41090528"|"81280877"
"SICL"|No |Yes|"Silty clay loam"|"41090529"|"81280878"
"SIC"|No |No |"Silty clay"|"41090530"|"81280879"
"SICL"|No |No |"Silty clay loam"|"41090530"|"81280880"
"SIC"|No |Yes|"Silty clay"|"41090531"|"81280881"
"SIC"|No |Yes|"Silty clay"|"41090532"|"81280882"
"SICL"|No |Yes|"Silty clay loam"|"41090533"|"81280883"
"SICL"|No |No |"Silty clay loam"|"41090534"|"81280884"
"SIC"|No |No |"Silty clay"|"41090534"|"81280885"
"SIC"|No |Yes|"Silty clay"|"41090535"|"81280886"
"SIC"|No |Yes|"Silty clay"|"41090536"|"81280887"
"SICL"|No |Yes|"Silty clay loam"|"41090537"|"81280888"
"SIL"|No |Yes|"Silt loam"|"41090538"|"81280889"
"SICL"|No |Yes|"Silty clay loam"|"41090539"|"81280890"
"SICL"|No |Yes|"Silty clay loam"|"41090540"|"81280891"
"SIL"|No |Yes|"Silt loam"|"41090541"|"81280892"
"SICL"|No |Yes|"Silty clay loam"|"41090542"|"81280893"
"SIC"|No |Yes|"Silty clay"|"41090543"|"81280894"
"SIC"|No |Yes|"Silty clay"|"41090544"|"81280895"
"SICL"|No |Yes|"Silty clay loam"|"41090545"|"81280896"
"SICL"|No |Yes|"Silty clay loam"|"41090546"|"81280897"
"SICL"|No |No |"Silty clay loam"|"41090547"|"81280898"
"SIC"|No |No |"Silty clay"|"41090547"|"81280899"
"WB"|No |Yes|"Weathered bedrock"|"41090548"|"81280900"
"SIC"|No |Yes|"Silty clay"|"41090549"|"81280901"
"SIC"|No |Yes|"Silty clay"|"41090550"|"81280902"
"SICL"|No |Yes|"Silty clay loam"|"41090551"|"81280903"
"SICL"|No |Yes|"Silty clay loam"|"41090552"|"81280904"
"SICL"|No |No |"Silty clay loam"|"41090553"|"81280905"
"SIC"|No |No |"Silty clay"|"41090553"|"81280906"
"SIL"|No |Yes|"Silt loam"|"41090554"|"81280907"
"SIL"|No |No |"Silt loam"|"41090555"|"81280908"
"L"|No |No |"Loam"|"41090555"|"81280909"
