"Silty clay loam"||"81281305"|"82715701"
"Clay loam"||"81281306"|"82715702"
"Silty clay loam"||"81281307"|"82715703"
"Silty clay"||"81281308"|"82715704"
"Clay loam"||"81281321"|"82715717"
"Silty clay loam"||"81281322"|"82715718"
"Silty clay loam"||"81281323"|"82715719"
"Silty clay loam"||"81281324"|"82715720"
"Silty clay loam"||"81281325"|"82715721"
"Clay loam"||"81281338"|"82715734"
"Sandy clay loam"||"81281339"|"82715735"
"Fine sand"||"81281339"|"82715736"
"Silty clay loam"||"81281340"|"82715737"
"Silty clay loam"||"81281341"|"82715738"
"Silty clay"||"81281355"|"82715752"
"Silty clay loam"||"81281356"|"82715753"
"Silty clay loam"||"81281357"|"82715754"
"Silty clay loam"||"81281358"|"82715755"
|"Unweathered bedrock"|"81281372"|"82715769"
|"Fragmental material"|"81281373"|"82715770"
"Silt loam"||"81281374"|"82715771"
"Silt loam"||"81281375"|"82715772"
|"Fragmental material"|"81281388"|"82715785"
"Silt loam"||"81281389"|"82715786"
"Silty clay loam"||"81281390"|"82715787"
"Clay loam"||"81281391"|"82715788"
"Loam"||"81281405"|"82715802"
"Loam"||"81281406"|"82715803"
"Silt loam"||"81281407"|"82715804"
"Silty clay loam"||"81281408"|"82715805"
"Fine sand"||"81281422"|"82715819"
"Loam"||"81281423"|"82715820"
"Silt loam"||"81281424"|"82715821"
"Silty clay loam"||"81281425"|"82715822"
"Loamy coarse sand"||"81281438"|"82715835"
|"Cinders"|"81281439"|"82715836"
"Loam"||"81281440"|"82715837"
"Loamy fine sand"||"81280778"|"82715148"
"Loamy sand"||"81280779"|"82715149"
"Clay loam"||"81280780"|"82715150"
"Loamy sand"||"81280781"|"82715151"
"Sandy clay loam"||"81280795"|"82715166"
"Silt loam"||"81280796"|"82715167"
"Silty clay loam"||"81280796"|"82715168"
"Clay loam"||"81280797"|"82715169"
"Loam"||"81280798"|"82715170"
"Silty clay loam"||"81280812"|"82715185"
"Silty clay"||"81280813"|"82715186"
"Silty clay"||"81280814"|"82715187"
"Clay"||"81280815"|"82715188"
"Clay"||"81280828"|"82715202"
"Clay"||"81280829"|"82715203"
"Clay"||"81280830"|"82715204"
"Silty clay"||"81280831"|"82715205"
"Clay"||"81280832"|"82715206"
"Silty clay loam"||"81280845"|"82715219"
"Silty clay"||"81280846"|"82715220"
|"Weathered bedrock"|"81280847"|"82715221"
"Silty clay"||"81280848"|"82715222"
"Silty clay"||"81280862"|"82715236"
"Silty clay"||"81280863"|"82715237"
"Silty clay loam"||"81280864"|"82715238"
"Clay loam"||"81280865"|"82715239"
"Silty clay"||"81280879"|"82715253"
"Silty clay loam"||"81280880"|"82715254"
"Silty clay"||"81280881"|"82715255"
"Silty clay"||"81280882"|"82715256"
"Silty clay"||"81280895"|"82715269"
"Silty clay loam"||"81280896"|"82715270"
"Silty clay loam"||"81280897"|"82715271"
"Silty clay loam"||"81280898"|"82715272"
"Clay loam"||"81280912"|"82715286"
"Clay loam"||"81280913"|"82715287"
"Clay loam"||"81280914"|"82715288"
"Silty clay loam"||"81280915"|"82715289"
|"Weathered bedrock"|"81280929"|"82715303"
"Silty clay loam"||"81280930"|"82715304"
"Silty clay"||"81280931"|"82715305"
"Silty clay loam"||"81280932"|"82715306"
|"Cemented"|"81280945"|"82715319"
"Silty clay loam"||"81280946"|"82715320"
"Silty clay loam"||"81280947"|"82715321"
|"Weathered bedrock"|"81280948"|"82715322"
"Silty clay loam"||"81280949"|"82715323"
"Silty clay"||"81280962"|"82715336"
"Clay"||"81280963"|"82715337"
"Silty clay loam"||"81280964"|"82715338"
"Silty clay"||"81280965"|"82715339"
"Silty clay"||"81280979"|"82715353"
"Clay"||"81280980"|"82715354"
|"Weathered bedrock"|"81280981"|"82715355"
"Clay"||"81280982"|"82715356"
"Clay"||"81280995"|"82715369"
"Clay"||"81280996"|"82715370"
"Clay"||"81280997"|"82715371"
"Clay"||"81280998"|"82715372"
"Clay"||"81280999"|"82715373"
"Clay"||"81281012"|"82715387"
"Clay"||"81281013"|"82715388"
"Clay"||"81281014"|"82715389"
"Silty clay"||"81281015"|"82715390"
"Silty clay"||"81281029"|"82715406"
"Clay loam"||"81281029"|"82715407"
"Clay"||"81281030"|"82715408"
"Clay"||"81281031"|"82715409"
"Silty clay"||"81281031"|"82715410"
|"Cemented"|"81281032"|"82715411"
"Sand"||"81281046"|"82715426"
"Sand"||"81281047"|"82715427"
"Silty clay"||"81281048"|"82715428"
"Silty clay loam"||"81281049"|"82715429"
"Silty clay"||"81281062"|"82715442"
"Silty clay"||"81281063"|"82715443"
"Clay loam"||"81281064"|"82715444"
"Sandy loam"||"81281065"|"82715445"
"Sand"||"81281066"|"82715446"
"Silt"||"81281066"|"82715447"
"Silty clay"||"81281079"|"82715460"
"Clay"||"81281080"|"82715461"
"Silty clay"||"81281081"|"82715462"
