"Ochric epipedon"||0|||18|||18||"18294073"|"9185566"
"Oxic horizon"||38|||183|||145||"18294073"|"9185567"
"Andic soil properties"||0|||56|||56||"18294074"|"9185557"
"Mollic epipedon"||0|||56|||56||"18294074"|"9185558"
"Lithologic discontinuity"||56|||149|||93||"18294074"|"9185559"
"Mollic epipedon"||0|||38|||38||"18294078"|"9185655"
"Cambic horizon"||38|||81|||49||"18294078"|"9185656"
"Lithic contact"||81|||107|||26||"18294078"|"9185657"
"Mollic epipedon"|0|0|0|70|91|110|70|91|110|"18294079"|"9185652"
"Cambic horizon"|20|30|40|70|91|110|50|61|70|"18294079"|"9185653"
"Lithologic discontinuity"|70|91|110|110|152|200|40|61|90|"18294079"|"9185654"
"Mollic epipedon"||0|||20|||20||"18294081"|"9185591"
"Cambic horizon"||20|||137|||117||"18294081"|"9185592"
"Paralithic contact"||137|||162|||25||"18294081"|"9185593"
"Paralithic materials"||137|||162|||25||"18294081"|"9185594"
"Andic soil properties"||0|||137|||137||"18294081"|"9185595"
"Lithologic discontinuity"||137|||162|||25||"18294081"|"9185596"
"Mollic epipedon"|0|0|0|30|46|50|30|46|50|"18294082"|"9185634"
"Lithologic discontinuity"|30|46|50|55|71|100|25|25|50|"18294082"|"9185635"
"Argillic horizon"|10|23|25|30|46|50|20|23|25|"18294082"|"9185636"
"Mollic epipedon"|0|0|0|25|46|65|25|46|65|"18294088"|"9185686"
"Cambic horizon"|25|46|65|100|152|200|75|106|135|"18294088"|"9185687"
"Mollic epipedon"|0|0|0|15|25|50|15|25|50|"18294089"|"9185690"
"Argillic horizon"|15|25|50|110|147|185|95|122|135|"18294089"|"9185691"
"Umbric epipedon"|0|0|0|23|28|31|23|28|31|"18294090"|"9185613"
"Kandic horizon"|64|66|79|94|112|112|28|46|46|"18294090"|"9185614"
"Paralithic contact"|142|147|152|154|157|159|7|10|12|"18294090"|"9185615"
"Lithologic discontinuity"|38|41|43|64|66|79|23|25|38|"18294090"|"9185616"
"Ochric epipedon"||0|||8|||8||"18294092"|"9185562"
"Salt accumulations"||0|||163|||163||"18294092"|"9185563"
"Aquic conditions"||69|||163|||94||"18294092"|"9185564"
"Lithologic discontinuity"||89|||163|||74||"18294092"|"9185565"
"Mollic epipedon"||0|||64|||41||"18294128"|"9185617"
"Lithologic discontinuity"||64|||84|||23||"18294128"|"9185618"
"Lithic contact"||84|||94|||25||"18294128"|"9185619"
"Mollic epipedon"|0|0|0|46|50|56|46|50|56|"18294129"|"9185582"
"Andic soil properties"|0|0|0|100|102|105|100|102|105|"18294129"|"9185583"
"Cambic horizon"|46|50|56|100|102|105|50|52|55|"18294129"|"9185584"
"Lithic contact"|122|127|137|147|152|157|20|25|30|"18294129"|"9185585"
"Lithic contact"|3|13|25|28|38|50|25|25|25|"18294131"|"9185620"
"Sapric soil materials"|0|0|0|3|13|25|3|13|25|"18294131"|"9185621"
"Umbric epipedon"|0|0|0|10|33|50|10|33|50|"18294133"|"9185622"
"Andic soil properties"|10|33|50|50|76|95|40|43|45|"18294133"|"9185623"
"Lithic contact"|50|76|95|75|102|200|25|26|105|"18294133"|"9185624"
"Umbric epipedon"||0|||28|||28||"18294134"|"9185643"
"Cambic horizon"||28|||102|||74||"18294134"|"9185644"
"Paralithic materials"||132|||152|||20||"18294134"|"9185645"
"Mollic epipedon"||0|||10|||10||"18294135"|"9185649"
"Cambic horizon"||10|||58|||48||"18294135"|"9185650"
"Lithologic discontinuity"||112|||152|||40||"18294135"|"9185651"
"Mollic epipedon"||0|||25|||25||"18294136"|"9185646"
"Cambic horizon"||25|||99|||74||"18294136"|"9185647"
"Lithologic discontinuity"||99|||114|||15||"18294136"|"9185648"
