"amorphic"|"18294048"|"14376304"
"amorphic"|"18294049"|"14376306"
"parasesquic"|"18294050"|"14376313"
"parasesquic"|"18294051"|"14376315"
"parasesquic"|"18294052"|"14376320"
"amorphic"|"18294053"|"14376322"
"ferrihydritic"|"18294054"|"14376327"
"kaolinitic"|"18294055"|"14376337"
"kaolinitic"|"18294056"|"14376339"
"amorphic"|"18294057"|"14376346"
"kaolinitic"|"18294058"|"14376351"
"mixed"|"18294059"|"14376353"
"parasesquic"|"18294060"|"14376358"
"ferrihydritic"|"18294061"|"14376360"
"ferrihydritic"|"18294062"|"14376362"
"parasesquic"|"18294063"|"14376367"
"ferruginous"|"18294064"|"14376369"
"mixed"|"18294065"|"14376374"
"mixed"|"18294066"|"14376375"
"parasesquic"|"18294068"|"14376381"
"parasesquic"|"18294069"|"14376392"
"parasesquic"|"18294070"|"14376394"
"kaolinitic"|"18294073"|"14376442"
"amorphic"|"18294074"|"14376275"
"mixed"|"18294074"|"14376276"
"parasesquic"|"18294078"|"14376437"
"parasesquic"|"18294079"|"14376436"
"amorphic"|"18294081"|"14376420"
"parasesquic"|"18294082"|"14376427"
"mixed"|"18294083"|"14376432"
"amorphic"|"18294084"|"14376433"
"amorphic"|"18294085"|"14376431"
"kaolinitic"|"18294088"|"14376281"
"parasesquic"|"18294089"|"14376283"
"parasesquic"|"18294090"|"14376412"
"mixed"|"18294092"|"14376440"
"mixed"|"18294093"|"14376441"
"kaolinitic"|"18294094"|"14376300"
"kaolinitic"|"18294095"|"14376301"
"kaolinitic"|"18294096"|"14376302"
"not used"|"18294097"|"14376303"
"parasesquic"|"18294098"|"14376316"
"mixed"|"18294099"|"14376317"
"mixed"|"18294100"|"14376318"
"mixed"|"18294101"|"14376319"
"amorphic"|"18294102"|"14376329"
"amorphic"|"18294104"|"14376330"
"mixed"|"18294105"|"14376331"
"mixed"|"18294106"|"14376332"
"kaolinitic"|"18294107"|"14376341"
"kaolinitic"|"18294108"|"14376342"
"kaolinitic"|"18294109"|"14376343"
"kaolinitic"|"18294110"|"14376344"
"kaolinitic"|"18294111"|"14376345"
"mixed"|"18294112"|"14376354"
"amorphic"|"18294113"|"14376355"
"not used"|"18294114"|"14376356"
"parasesquic"|"18294115"|"14376357"
"amorphic"|"18294116"|"14376363"
"carbonatic"|"18294117"|"14376364"
"parasesquic"|"18294118"|"14376365"
"amorphic"|"18294119"|"14376377"
"mixed"|"18294120"|"14376378"
"mixed"|"18294121"|"14376379"
"mixed"|"18294123"|"14376380"
"kaolinitic"|"18294124"|"14376388"
"mixed"|"18294125"|"14376389"
"mixed"|"18294126"|"14376390"
"mixed"|"18294127"|"14376391"
"kaolinitic"|"18294128"|"14376422"
"amorphic"|"18294129"|"14376417"
"not used"|"18294131"|"14376423"
"amorphic"|"18294133"|"14376424"
"mixed"|"18294134"|"14376430"
"amorphic"|"18294135"|"14376435"
"amorphic"|"18294136"|"14376434"
"amorphic"|"18294137"|"14376425"
"not used"|"18294138"|"14376402"
"not used"|"18294139"|"14376403"
"not used"|"18294140"|"14376404"
"not used"|"18294141"|"14376405"
"parasesquic"|"18294142"|"14376287"
"kaolinitic"|"18294143"|"14376286"
"kaolinitic"|"18294144"|"14376278"
"parasesquic"|"18294145"|"14376298"
"mixed"|"18294146"|"14376279"
"mixed"|"18294147"|"14376297"
"mixed"|"18294149"|"14376280"
"kaolinitic"|"18294150"|"14376296"
"parasesquic"|"18294151"|"14376411"
"mixed"|"18294152"|"14376410"
"mixed"|"18294153"|"14376408"
"ferrihydritic"|"18294154"|"14376409"
"kaolinitic"|"18294155"|"14376406"
"kaolinitic"|"18294156"|"14376407"
"kaolinitic"|"18294157"|"14376299"
"amorphic"|"18294158"|"14376305"
"amorphic"|"18294159"|"14376307"
"parasesquic"|"18294160"|"14376312"
"parasesquic"|"18294161"|"14376314"
"parasesquic"|"18294162"|"14376321"
"mixed"|"18294163"|"14376326"
"not used"|"18294164"|"14376328"
"kaolinitic"|"18294165"|"14376338"
"kaolinitic"|"18294166"|"14376340"
"amorphic"|"18294167"|"14376347"
"mixed"|"18294168"|"14376352"
"ferrihydritic"|"18294169"|"14376361"
"parasesquic"|"18294170"|"14376366"
"ferruginous"|"18294171"|"14376368"
"mixed"|"18294172"|"14376376"
"parasesquic"|"18294173"|"14376382"
"kaolinitic"|"18294174"|"14376387"
"parasesquic"|"18294175"|"14376393"
"parasesquic"|"18294177"|"14376416"
"mixed"|"18294178"|"14376414"
"mixed"|"18294179"|"14376415"
"carbonatic"|"18294180"|"14376439"
"kaolinitic"|"18294181"|"14376443"
"kaolinitic"|"18294182"|"14376444"
"not used"|"18294183"|"14376418"
"amorphic"|"18294185"|"14376426"
"kaolinitic"|"18294186"|"14376419"
"not used"|"18294187"|"14376400"
"not used"|"18294189"|"14376401"
"kaolinitic"|"18294190"|"14376277"
"parasesquic"|"18294191"|"14376282"
"carbonatic"|"18294192"|"14376438"
"not used"|"18294193"|"14376421"
"ferritic"|"18294195"|"14376308"
"ferritic"|"18294196"|"14376309"
"ferritic"|"18294197"|"14376310"
"ferritic"|"18294198"|"14376311"
"mixed"|"18294199"|"14376323"
"mixed"|"18294200"|"14376324"
"mixed"|"18294201"|"14376325"
"mixed"|"18294203"|"14376333"
"kaolinitic"|"18294204"|"14376334"
"kaolinitic"|"18294205"|"14376335"
"kaolinitic"|"18294206"|"14376336"
"amorphic"|"18294207"|"14376348"
"amorphic"|"18294208"|"14376349"
"amorphic"|"18294209"|"14376350"
"amorphic"|"18294210"|"14376359"
"ferruginous"|"18294211"|"14376370"
"mixed"|"18294212"|"14376371"
"mixed"|"18294213"|"14376372"
"mixed"|"18294214"|"14376373"
"parasesquic"|"18294215"|"14376383"
"parasesquic"|"18294216"|"14376384"
"kaolinitic"|"18294217"|"14376385"
"kaolinitic"|"18294218"|"14376386"
"parasesquic"|"18294219"|"14376413"
"mixed"|"18294221"|"14376428"
"mixed"|"18294223"|"14376429"
"ferrihydritic"|"18294225"|"14376395"
"mixed"|"18294226"|"14376397"
"ferrihydritic"|"18294227"|"14376396"
"not used"|"18294228"|"14376399"
"not used"|"18294230"|"14376398"
"kaolinitic"|"18294231"|"14376446"
"kaolinitic"|"18294232"|"14376448"
"mixed"|"18294233"|"14376447"
"mixed"|"18294234"|"14376445"
"amorphic"|"18294235"|"14376290"
"mixed"|"18294235"|"14376291"
"mixed"|"18294236"|"14376288"
"amorphic"|"18294237"|"14376284"
"mixed"|"18294237"|"14376285"
"kaolinitic"|"18294238"|"14376289"
"amorphic"|"18294239"|"14376294"
"mixed"|"18294239"|"14376295"
"mixed"|"18294240"|"14376292"
"kaolinitic"|"18294241"|"14376293"
