"Silty clay"||"107342152"|"109192686"
"Clay"||"107342153"|"109192537"
"Silty clay"||"107342154"|"109192836"
"Silty clay"||"107342155"|"109192837"
"Silty clay"||"107342172"|"109192700"
|"Bedrock"|"107342173"|"109192561"
"Clay loam"||"107342174"|"109193000"
"Silty clay loam"||"107342175"|"109192999"
"Fine sand"||"107342176"|"109193001"
"Fine sand"||"107342196"|"109193016"
"Loam"||"107342197"|"109193017"
"Silt loam"||"107342198"|"109192508"
"Silty clay loam"||"107342199"|"109192725"
"Silt loam"||"107342200"|"109193018"
|"Bedrock"|"107342201"|"109192726"
"Fine sand"||"107342202"|"109192579"
"Silty clay"||"107342216"|"109192604"
"Silty clay"||"107342217"|"109192746"
|"Bedrock"|"107342218"|"109192605"
"Silty clay"||"107342219"|"109192747"
"Silty clay"||"107342233"|"109192524"
"Silty clay"||"107342234"|"109192675"
"Silty clay loam"||"107342235"|"109192824"
"Silty clay"||"107342236"|"109192825"
|"Bedrock"|"107342237"|"109192955"
"Silty clay"||"107342254"|"109192906"
"Loam"||"107342255"|"109192755"
"Silt loam"||"107342256"|"109193047"
"Silty clay"||"107342257"|"109192757"
"Clay loam"||"107342258"|"109193052"
"Silty clay"||"107342259"|"109193051"
"Silty clay loam"||"107342260"|"109193053"
"Silty clay loam"||"107342273"|"109193110"
"Silty clay"||"107342274"|"109192908"
"Loam"||"107342275"|"109192909"
|"Bedrock"|"107342276"|"109192910"
"Silty clay"||"107342277"|"109192788"
"Silty clay"||"107342278"|"109192634"
"Sandy loam"||"107342292"|"109192936"
"Sandy loam"||"107342293"|"109192937"
"Sand"||"107341594"|"109192965"
"Fine sand"||"107341595"|"109192531"
|"Cobbles"|"107341597"|"109192835"
"Silty clay loam"||"107341604"|"109192689"
"Silty clay"||"107341607"|"109192542"
"Silty clay"||"107341613"|"109192696"
"Loam"||"107341615"|"109192550"
"Silty clay loam"||"107341624"|"109192564"
"Clay loam"||"107341626"|"109193003"
|"Bedrock"|"107341636"|"109192867"
"Silty clay"||"107341638"|"109192462"
|"Cobbles"|"107341644"|"109192728"
"Silty clay"||"107341646"|"109192586"
"Silty clay loam"||"107341653"|"109192737"
|"Bedrock"|"107341655"|"109193026"
"Silt loam"||"107341662"|"109192769"
"Silty clay loam"||"107341664"|"109192919"
"Silty clay"||"107341669"|"109192903"
"Silty clay"||"107341671"|"109192754"
"Very fine sandy loam"||"107341681"|"109193143"
"Loamy coarse sand"||"107341683"|"109193144"
|"Bedrock"|"107341689"|"109193177"
"Silty clay"||"107341691"|"109193159"
"Loam"||"107341696"|"109192670"
"Silt loam"||"107341697"|"109192518"
"Silty clay loam"||"107341698"|"109192822"
|"Cobbles"|"107341700"|"109193167"
"Silt loam"||"107341709"|"109193098"
|"Cobbles"|"107341711"|"109193170"
"Silty clay loam"||"107341719"|"109192651"
"Silty clay loam"||"107341721"|"109192495"
"Silty clay"||"107341729"|"109192658"
"Silty clay loam"||"107341730"|"109192504"
"Silty clay"||"107341732"|"109192778"
"Silt loam"||"107341738"|"109192511"
"Fine sandy loam"||"107341741"|"109193067"
"Silt loam"||"107341742"|"109193081"
"Loam"||"107341743"|"109193122"
"Silty clay"||"107341754"|"109192832"
"Silty clay"||"107341756"|"109192532"
"Silt loam"||"107341761"|"109192969"
"Silty clay loam"||"107341762"|"109192968"
|"Bedrock"|"107341764"|"109192920"
"Clay"||"107341766"|"109192982"
"Silty clay"||"107341767"|"109192981"
"Clay"||"107341773"|"109192845"
"Silty clay"||"107341774"|"109192844"
"Clay"||"107341776"|"109192547"
"Silty clay"||"107341777"|"109192847"
"Silty clay"||"107341786"|"109192559"
"Silty clay loam"||"107341787"|"109192704"
"Silt loam"||"107341789"|"109192705"
"Silty clay loam"||"107341796"|"109193007"
"Silty clay loam"||"107341798"|"109192714"
"Clay loam"||"107341800"|"109192715"
"Clay loam"||"107341806"|"109192864"
"Silty clay loam"||"107341808"|"109192571"
"Clay"||"107341817"|"109192582"
"Silty clay"||"107341819"|"109192871"
"Silt loam"||"107341824"|"109192875"
|"Bedrock"|"107341827"|"109193023"
"Silty clay"||"107341829"|"109193024"
"Loam"||"107341836"|"109192884"
"Sand"||"107341838"|"109192886"
|"Paragravel"|"107341846"|"109193037"
|"Gravel"|"107341848"|"109192601"
"Silty clay loam"||"107341855"|"109193049"
|"Bedrock"|"107341857"|"109192751"
"Silty clay"||"107341862"|"109192901"
"Silty clay loam"||"107341864"|"109193084"
"Very fine sandy loam"||"107341871"|"109192816"
"Very fine sandy loam"||"107341873"|"109192513"
|"Bedrock"|"107341880"|"109192516"
"Silt loam"||"107341882"|"109192623"
|"Bedrock"|"107341891"|"109193093"
"Silty clay loam"||"107341893"|"109193131"
"Loam"||"107341900"|"109193099"
"Silty clay loam"||"107341902"|"109193100"
"Clay loam"||"107341903"|"109193171"
"Silty clay loam"||"107341912"|"109193115"
|"Bedrock"|"107341914"|"109193116"
"Silty clay loam"||"107341919"|"109192790"
"Silt loam"||"107341920"|"109192791"
|"Cobbles"|"107341922"|"109192642"
"Silty clay loam"||"107341930"|"109192918"
"Silty clay loam"||"107341932"|"109192639"
"Clay"||"107341940"|"109192946"
"Silty clay"||"107341942"|"109192656"
"Clay"||"107341948"|"109192500"
"Silty clay loam"||"107341950"|"109192943"
"Silty clay loam"||"107341951"|"109192496"
"Silty clay"||"107341960"|"109192620"
"Silty clay loam"||"107341961"|"109192471"
|"Material"|"107341964"|"109193080"
|"Material"|"107341974"|"109193063"
"Silty clay"||"107341976"|"109193065"
"Silty clay loam"||"107341992"|"109192831"
|"Bedrock"|"107341999"|"109192468"
"Silty clay loam"||"107342001"|"109192976"
"Silty clay"||"107342008"|"109192983"
"Silty clay"||"107342010"|"109192985"
"Silty clay loam"||"107342017"|"109193005"
"Clay loam"||"107342019"|"109192710"
|"Bedrock"|"107342029"|"109192576"
|"Cobbles"|"107342031"|"109193020"
|"Bedrock"|"107342036"|"109192736"
