"Aridic (torric)"|"18294073"|"6993509"
"Ustic"|"18294074"|"6993495"
"Ustic"|"18294078"|"6993508"
"Ustic"|"18294079"|"6993507"
"Ustic"|"18294081"|"6993524"
"Aridic (torric)"|"18294082"|"6993501"
"Ustic"|"18294088"|"6993475"
"Ustic"|"18294089"|"6993477"
"Ustic"|"18294090"|"6993494"
"Aquic"|"18294092"|"6993516"
"Ustic"|"18294128"|"6993496"
"Ustic"|"18294129"|"6993521"
"Udic"|"18294131"|"6993497"
"Ustic"|"18294133"|"6993498"
"Udic"|"18294134"|"6993504"
"Aridic (torric)"|"18294135"|"6993506"
"Ustic"|"18294136"|"6993505"
"Aridic (torric)"|"18294137"|"6993499"
"Ustic"|"18294142"|"6993480"
"Aridic (torric)"|"18294143"|"6993479"
"Ustic"|"18294144"|"6993472"
"Ustic"|"18294145"|"6993489"
"Ustic"|"18294146"|"6993473"
"Ustic"|"18294147"|"6993488"
"Ustic"|"18294149"|"6993474"
"Ustic"|"18294150"|"6993487"
"Ustic"|"18294151"|"6993493"
"Aquic"|"18294153"|"6993492"
"Ustic"|"18294155"|"6993490"
"Ustic"|"18294156"|"6993491"
"Udic"|"18294177"|"6993520"
"Udic"|"18294178"|"6993518"
"Udic"|"18294179"|"6993519"
"Ustic"|"18294180"|"6993515"
"Aridic (torric)"|"18294181"|"6993510"
"Aridic (torric)"|"18294182"|"6993511"
"Udic"|"18294183"|"6993522"
"Ustic"|"18294185"|"6993500"
"Ustic"|"18294186"|"6993523"
"Ustic"|"18294190"|"6993471"
"Ustic"|"18294191"|"6993476"
"Ustic"|"18294192"|"6993514"
"Aquic"|"18294193"|"6993525"
"Udic"|"18294219"|"6993517"
"Ustic"|"18294221"|"6993502"
"Ustic"|"18294223"|"6993503"
"Aridic (torric)"|"18294231"|"6993513"
"Ustic"|"18294234"|"6993512"
"Aridic (torric)"|"18294235"|"6993483"
"Ustic"|"18294236"|"6993481"
"Aridic (torric)"|"18294237"|"6993478"
"Aridic (torric)"|"18294238"|"6993482"
"Aridic (torric)"|"18294239"|"6993486"
"Ustic"|"18294240"|"6993484"
"Aridic (torric)"|"18294241"|"6993485"
