"Very stony"|"109192486"|"31011117"
"Cobbly"|"109192488"|"31011089"
"Mucky"|"109192521"|"31011001"
"Extremely cobbly"|"109192556"|"31011027"
"Very gravelly"|"109192570"|"31011153"
"Very gravelly"|"109192572"|"31011105"
"Very gravelly"|"109192573"|"31011129"
"Extremely cobbly"|"109192587"|"31011109"
"Very gravelly"|"109192589"|"31011085"
"Gravelly"|"109192603"|"31011122"
"Stony"|"109192604"|"31010975"
"Medial"|"109192623"|"31011024"
"Stony"|"109192638"|"31011125"
"Paragravelly"|"109192639"|"31010968"
"Medial"|"109192670"|"31010980"
"Cobbly"|"109192704"|"31010983"
"Extremely stony"|"109192705"|"31011090"
"Extremely stony"|"109192754"|"31011140"
"Extremely cobbly"|"109192755"|"31011046"
"Peaty"|"109192757"|"31011145"
"Stony"|"109192774"|"31011059"
"Extremely gravelly"|"109192789"|"31011010"
"Extremely stony"|"109192790"|"31010985"
"Medial"|"109192822"|"31011081"
"Very gravelly"|"109192857"|"31010977"
"Extremely stony"|"109192871"|"31011035"
"Cobbly"|"109192891"|"31011075"
"Extremely stony"|"109192904"|"31010992"
"Gravelly"|"109192939"|"31011029"
"Very gravelly"|"109192940"|"31010976"
"Cobbly"|"109192941"|"31010969"
"Extremely stony"|"109192956"|"31011119"
"Extremely stony"|"109192973"|"31011038"
"Extremely stony"|"109193021"|"31010950"
"Very stony"|"109193022"|"31011005"
"Stony"|"109193039"|"31011039"
"Gravelly"|"109193040"|"31010999"
"Extremely cobbly"|"109193055"|"31011124"
"Medial"|"109193071"|"31011041"
"Medial"|"109193072"|"31011000"
"Very cobbly"|"109193074"|"31011155"
"Very cobbly"|"109193088"|"31011139"
"Extremely cobbly"|"109193089"|"31011111"
"Medial"|"109193106"|"31011079"
"Extremely stony"|"109193106"|"31011080"
"Extremely cobbly"|"109193108"|"31011146"
"Extremely stony"|"109193139"|"31011115"
"Paragravelly"|"109193140"|"31011132"
|"109193156"|"31011123"
"Extremely stony"|"109193157"|"31010994"
"Extremely stony"|"109193158"|"31011006"
"Cobbly"|"109193174"|"31010997"
"Very stony"|"109193175"|"31010979"
"Very stony"|"109192460"|"31011102"
"Paragravelly"|"109192508"|"31010990"
"Cobbly"|"109192517"|"31011051"
"Medial"|"109192517"|"31011052"
"Cobbly"|"109192533"|"31011065"
"Cobbly"|"109192551"|"31011043"
"Extremely cobbly"|"109192583"|"31011091"
"Paracobbly"|"109192585"|"31011131"
"Cobbly"|"109192599"|"31011158"
"Extremely stony"|"109192610"|"31011156"
|"109192642"|"31011107"
"Very cobbly"|"109192667"|"31010995"
"Medial"|"109192667"|"31010996"
"Extremely stony"|"109192669"|"31010972"
"Very gravelly"|"109192710"|"31011143"
"Cobbly"|"109192717"|"31011068"
"Extremely gravelly"|"109192719"|"31011128"
"Very stony"|"109192753"|"31011040"
"Very cobbly"|"109192758"|"31011047"
"Cemented"|"109192760"|"31011028"
"Cobbly"|"109192769"|"31011030"
"Very stony"|"109192833"|"31011121"
"Extremely gravelly"|"109192858"|"31011021"
"Paracobbly"|"109192876"|"31010991"
"Very cobbly"|"109192885"|"31010984"
"Cobbly"|"109192892"|"31011013"
"Cobbly"|"109192901"|"31011094"
"Very stony"|"109192903"|"31011031"
"Very paracobbly"|"109192917"|"31011026"
"Cobbly"|"109192928"|"31011048"
"Cobbly"|"109192987"|"31011086"
"Extremely stony"|"109192994"|"31010987"
"Gravelly"|"109193001"|"31011016"
"Very gravelly"|"109193003"|"31011004"
"Extremely gravelly"|"109193010"|"31010951"
"Stony"|"109193012"|"31011034"
"Extremely stony"|"109193017"|"31011060"
"Extremely stony"|"109193019"|"31010988"
"Stony"|"109193042"|"31011144"
"Cobbly"|"109193044"|"31010970"
"Bouldery"|"109193060"|"31010967"
"Extremely cobbly"|"109193078"|"31011099"
"Very stony"|"109193085"|"31011106"
"Medial"|"109193094"|"31011134"
|"109193101"|"31011083"
"Very cobbly"|"109193112"|"31011159"
|"109193126"|"31010955"
"Very cobbly"|"109193128"|"31011103"
"Cobbly"|"109193135"|"31011116"
"Extremely stony"|"109193144"|"31010966"
"Very gravelly"|"109193153"|"31011036"
"Medial"|"109193160"|"31011101"
"Extremely cobbly"|"109193162"|"31011061"
|"109193167"|"31011022"
"Cobbly"|"109193169"|"31011032"
"Gravelly"|"109193176"|"31011050"
"Stony"|"109193178"|"31011042"
"Very gravelly"|"109192491"|"31011147"
"Paragravelly"|"109192507"|"31011120"
"Medial"|"109192518"|"31011053"
"Very gravelly"|"109192527"|"31010989"
"Extremely stony"|"109192534"|"31011012"
"Cobbly"|"109192559"|"31011054"
"Extremely gravelly"|"109192568"|"31011071"
"Extremely stony"|"109192584"|"31011070"
"Cemented"|"109192593"|"31011093"
"Extremely stony"|"109192611"|"31011151"
"Stony"|"109192616"|"31011064"
"Very gravelly"|"109192641"|"31010957"
"Cobbly"|"109192652"|"31011148"
"Paragravelly"|"109192661"|"31011017"
"Extremely gravelly"|"109192716"|"31011127"
"Stony"|"109192768"|"31011142"
"Extremely stony"|"109192791"|"31011058"
"Gravelly"|"109192793"|"31011003"
"Very gravelly"|"109192795"|"31011062"
|"109192820"|"31011098"
"Very stony"|"109192852"|"31010982"
"Cobbly"|"109192859"|"31010998"
"Cobbly"|"109192875"|"31011007"
"Extremely stony"|"109192877"|"31011044"
