date,Iao_50m_0.5,Iao_50m_1,Iao_50m_0.5,Iao_50m_1,Iao_50m_0.5,Iao_50m_0.7,Iao_50m_1,Iao_50m_1.3,Iao_50m_1.5
2016-09-13 22:00:00,0.0,0.0,1728.5729999999999,2341.8160000000003,1728.5729999999999,2051.8360000000002,2341.8160000000003,2528.609,2627.6020000000003
2016-09-13 22:30:00,0.0,0.0,1140.202,1416.9189999999999,1140.202,1284.855,1416.9189999999999,1499.7839999999999,1546.3870000000002
2016-09-13 23:00:00,0.0,0.0,763.877,911.5880000000001,763.877,838.62,911.5880000000001,964.934,996.949
2016-09-13 23:30:00,0.0,0.0,528.313,618.937,528.313,572.111,618.937,658.3539999999999,685.924
2016-09-14 00:00:00,0.0,0.0,375.055,435.025,375.055,403.11800000000005,435.025,467.029,490.92400000000004
2016-09-14 00:30:00,0.0,0.0,273.37,314.758,273.37,292.37,314.758,340.477,360.934
2016-09-14 01:00:00,0.0,0.0,203.1,233.757,203.1,216.697,233.757,254.051,271.371
2016-09-14 01:30:00,0.0,0.0,153.566,176.66099999999997,153.566,163.668,176.66099999999997,193.19299999999998,207.707
2016-09-14 02:00:00,0.0,0.0,117.639,135.515,117.639,125.35600000000001,135.515,148.724,160.944
2016-09-14 02:30:00,0.0,0.0,90.87,104.81,90.87,96.79700000000001,104.81,115.704,125.994
2016-09-14 03:00:00,0.001,0.001,70.583,81.578,70.583,75.221,81.578,90.613,99.09200000000001
2016-09-14 03:30:00,0.034,0.034,55.006,63.736999999999995,55.006,58.662,63.736999999999995,71.21600000000001,78.235
2016-09-14 04:00:00,0.254,0.254,42.93,49.903999999999996,42.93,45.826,49.903999999999996,56.104,61.943999999999996
2016-09-14 04:30:00,1.6219999999999999,1.6219999999999999,33.461999999999996,39.091,33.461999999999996,35.791,39.091,44.214,49.095
2016-09-14 05:00:00,9.845,9.845,26.024,30.575,26.024,27.896,30.575,34.815,38.865
2016-09-14 05:30:00,22.903000000000002,22.903000000000002,20.147000000000002,23.811,20.147000000000002,21.654,23.811,27.326999999999998,30.665
2016-09-14 06:00:00,24.985,24.985,15.497,18.445999999999998,15.497,16.697,18.445999999999998,21.336,24.053
2016-09-14 06:30:00,23.037,23.037,11.831,14.195,11.831,12.79,14.195,16.532,18.743
2016-09-14 07:00:00,22.516,22.516,8.992,10.853,8.992,9.746,10.853,12.718,14.49
2016-09-14 07:30:00,25.703000000000003,25.703000000000003,6.827000000000001,8.266,6.827000000000001,7.402,8.266,9.728,11.116
2016-09-14 08:00:00,31.38,31.38,5.202999999999999,6.3,5.202999999999999,5.644,6.3,7.412999999999999,8.488999999999999
2016-09-14 08:30:00,34.81,34.81,,,,,,,
2016-09-14 09:00:00,33.504,33.504,,,,,,,
