date,Iao_50m_0.5,Iao_50m_1,Iao_50m_0.5,Iao_50m_1,Iao_50m_0.5,Iao_50m_0.7,Iao_50m_1,Iao_50m_1.3,Iao_50m_1.5
2016-09-13 07:00:00,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-13 07:30:00,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-13 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-13 08:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-13 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-13 09:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-13 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-13 10:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-13 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-13 11:30:00,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.01,0.002
2016-09-13 12:00:00,0.0,0.0,0.0,0.009000000000000001,0.0,0.0,0.009000000000000001,0.078,0.043
2016-09-13 12:30:00,0.0,0.0,0.081,1.3090000000000002,0.081,0.259,1.3090000000000002,9.429,10.663
2016-09-13 13:00:00,0.0,0.0,1.296,108.23899999999999,1.296,12.135,108.23899999999999,488.176,677.1619999999999
2016-09-13 13:30:00,0.0,0.0,27.365,787.189,27.365,188.373,787.189,2240.406,3090.2659999999996
2016-09-13 14:00:00,0.0,0.0,129.864,2183.698,129.864,519.981,2183.698,5601.323,6918.063
2016-09-13 14:30:00,0.0,0.0,240.577,3813.062,240.577,1130.152,3813.062,5339.0869999999995,6084.535
2016-09-13 15:00:00,0.0,0.0,446.595,3225.975,446.595,1921.889,3225.975,4135.22,4684.48
2016-09-13 15:30:00,0.0,0.0,677.8430000000001,2467.012,677.8430000000001,1705.366,2467.012,3157.337,3582.343
2016-09-13 16:00:00,0.0,0.0,804.5939999999999,1846.693,804.5939999999999,1299.299,1846.693,2325.499,2609.695
2016-09-13 16:30:00,0.0,0.0,659.828,1339.195,659.828,962.7489999999999,1339.195,1656.8410000000001,1841.836
2016-09-13 17:00:00,0.0,0.0,504.772,956.7660000000001,504.772,707.132,956.7660000000001,1165.22,1285.972
2016-09-13 17:30:00,0.0,0.0,381.461,686.76,381.461,521.376,686.76,823.7869999999999,899.9830000000001
2016-09-13 18:00:00,0.0,0.0,289.619,501.185,289.619,386.724,501.185,590.7669999999999,637.521
2016-09-13 18:30:00,0.0,0.0,233.013,415.36300000000006,233.013,312.459,415.36300000000006,506.36300000000006,558.435
2016-09-13 19:00:00,0.0,0.0,217.463,597.602,217.463,338.34,597.602,1002.5210000000001,1310.597
2016-09-13 19:30:00,0.0,0.0,317.123,1669.616,317.123,751.2739999999999,1669.616,3161.736,4472.793
2016-09-13 20:00:00,0.0,0.0,776.1,5402.522,776.1,1980.128,5402.522,10074.538,12854.363000000001
2016-09-13 20:30:00,0.0,0.0,1601.761,8808.045,1601.761,4596.128,8808.045,12168.841999999999,14202.75
2016-09-13 21:00:00,0.0,0.0,2667.2309999999998,6772.482,2667.2309999999998,4796.073,6772.482,8379.032,9268.375
2016-09-13 21:30:00,0.0,0.0,2478.645,4031.125,2478.645,3284.62,4031.125,4564.803,4853.575
