STANAME,Lat,Lon
"Iao Stream at Kepaniwai Park nr Wailuku, Maui, HI",20.882389,-156.539278
"Waihee Rv abv Waihee Dtch intk nr Waihee, Maui, HI",20.935861,-156.546833
Kokee_Gulch,20.933625,-156.504076
