"H1"||"H"||1||0|||15|||||0|0|0|0|0|0|100|100|100|100|100|100|50|60|70|0|7.5|15||97.9|||0.7|||13.4|||37.9|||38.6|||7.3|||1.6||||||||0|0.5|1||0||0|0.05|0.1||||||||||||||141|141|141|0.03|0.04|0.05|||||||||||||0|1.5|2.9|0|7|14|0|0|0|0|0|0|".10"|".10"|85|92|99|0|0|0||||2|9|16||||||||||6.6|7.5|8.4|||||||||||||||||||||||||||||||||"18294047"|"53530157"
"H2"||"H"||2||15|||152|||||0|0|0|0|0|0|100|100|100|100|100|100|50|65|80|0|12.5|25||97.9|||0.7|||13.4|||37.9|||38.6|||7.3|||1.6||||||||0|0.5|1||0||0|0.05|0.1||||||||||||||141|141|141|0.03|0.04|0.05|||||||||||||0|1.5|2.9|0|7|14|0|0|0|0|0|0|".10"|".10"|85|92|99|0|0|0||||2|9|16||||||||||6.6|7.5|8.4|||||||||||||||||||||||||||||||||"18294047"|"53530158"
"H2"||"H"||2||30|||86|||||0|3|5|0|3|5|90|95|100|85|90|95|85|88|90|75|80|85||16.9|||0.1|||0.4|||1.1|||4.9|||10.4|||48.1||||||||27|35|40||0||3|4|5||||0.25|0.5|0.75||||0.27|0.52|0.77||0.42|2.3|4.23|0.12|0.13|0.14||||21.2|23.7|25.6|6.4|8.4|10|53|62|72|0|1.5|2.9|150|200|250|30|45|60|42|67|97|".05"|".05"|0|0|0|0|0|0|0|0|0|0|0|0|18.7|23.9|27.4|||||||5.6|6.1|6.5|||||||||||||||||||||||||||||||||"18294048"|"53530159"
"H3"||"H"||3||86|||152|||||15|33|50|20|30|40|0|10|20|0|2.5|5|0|2.5|5|0|2.5|5||0|||0|||0|||0|||0|||0|||0||||||||0|0|0||0||0|0|0||||1.1|1.2|1.3||||1.1|1.2|1.3||42.34|374|705|0.01|0.02|0.03|||||||0|0|0|0|1|4|0|0|0|0|0|0|0|0|0|0|0|0|".02"|".05"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||||||6.1|6.7|7.3|||||||||||||||||||||||||||||||||"18294048"|"53530160"
"H1"||"H"||1||0|||30|||||10|25|30|5|25|30|85|90|95|80|85|90|75|80|90|65|75|85||16.9|||0.1|||0.4|||1.1|||4.9|||10.4|||48.1||||||||27|35|40||0||5|7.5|10||||0.25|0.5|0.75||||0.28|0.53|0.78||4.23|23|42|0.12|0.13|0.14||||16.7|20.7|26.1|5.4|8.1|11.5|40|51|68|0|1.5|2.9|150|200|250|30|45|60|32|61|97|".05"|".05"|0|0|0|0|0|0|0|0|0|0|0|0|23.2|34.6|39.6|||||||5.1|5.3|5.5|||||||||||||||||||||||||||||||||"18294048"|"53530161"
"H1"||"H"||1||0|||18|||||0|3|5|5|10|15|95|97.5|100|90|92.5|95|85|90|95|75|80|85||16.9|||0.1|||0.4|||1.1|||4.9|||10.4|||48.1||||||||27|35|40||0||8|10|12||||0.25|0.5|0.75||||0.27|0.52|0.77||4.23|23|42|0.12|0.13|0.14||||23.1|25.7|27.7|8.4|10.8|12.8|51|61|70|0|1.5|2.9|150|200|250|30|45|60|42|67|97|".05"|".05"|0|0|0|0|0|0|0|0|0|0|0|0|21.4|27.1|30.8|||||||5.1|5.6|6|||||||||||||||||||||||||||||||||"18294049"|"53530162"
"H2"||"H"||2||18|||51|||||0|3|5|10|15|20|95|97.5|100|85|90|95|80|82.5|85|75|80|85||16.9|||0.1|||0.4|||1.1|||4.9|||10.4|||48.1||||||||27|35|40||0||5|7.5|10||||0.25|0.5|0.75||||0.27|0.52|0.77||0.42|2.3|4.23|0.12|0.13|0.14||||21.2|24.4|26.8|6.9|9.6|11.8|50|60|70|0|1.5|2.9|150|200|250|30|45|60|42|67|97|".05"|".05"|0|0|0|0|0|0|0|0|0|0|0|0|20.1|26|30.1|||||||5.1|5.8|6.5|||||||||||||||||||||||||||||||||"18294049"|"53530163"
"H3"||"H"||3||51|||76|||||15|33|50|20|30|40|0|10|20|0|2.5|5|0|2.5|5|0|0|0||0|||0|||0|||0|||0|||0|||0||||||||0|0|0||0||5|7.5|10||||1.1|1.2|1.3||||1.1|1.2|1.3||42.34|370|705|0.01|0.02|0.03|||||||0|0.2|0.8|0|1|4|0|0|0|0|0|0|0|0|0|0|0|0|".02"|".05"|0|0|0|0|0|0|0|0|0|0|0|0|||||||||||||||||||||||||||||||||||||||||||||"18294049"|"53530164"
"H4"||"H"||4||76|||102|||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|||0|||0|||0|||0|||0|||0|||0|||0||0|0|0||0||0|0|0||||||||||||||0.02|0.2|0.42|0|0|0|||||||||||||0|0|0|0|0|0|0|0|0||||".02"|".02"|||||||||||||||||||||||||||||||||||||||||||||||||||||||||"18294049"|"53530165"
"H3"||"H"||3||104|||165|||||0|0|0|5|8|10|85|90|95|80|85|90|70|80|90|60|75|90||17.1|||1.5|||2.1|||2.9|||5.3|||5.3|||27.9||||||||50|55|60||0||0.5|0.75|1||||1.1|1.2|1.3||||1.16|1.26|1.32||0.42|2.3|4.23|0.07|0.09|0.1|||||39|||25.4|||46||0|1.5|2.9|35|40|45|10|15|20|4|11|19|".17"|".17"|0|0|0|0|0|0||||0|0|0|7.5|10.7|12|||||||5.1|5.6|6|||||||||||||||||||||||||||||||||"18294050"|"53530166"
