36|"417431"|"468225"|"24848597"
36|"417435"|"468225"|"24848598"
29|"417431"|"468226"|"24848599"
29|"417435"|"468226"|"24848600"
88|"417431"|"468227"|"24848601"
88|"417433"|"468227"|"24848602"
|"417430"|"468228"|"24848593"
982|"417431"|"468228"|"24848594"
|"417433"|"468228"|"24848595"
|"417442"|"468228"|"24848596"
|"417430"|"468229"|"24848589"
786|"417431"|"468229"|"24848590"
786|"417433"|"468229"|"24848591"
|"417442"|"468229"|"24848592"
|"417430"|"468230"|"24848585"
292|"417431"|"468230"|"24848586"
292|"417433"|"468230"|"24848587"
|"417442"|"468230"|"24848588"
|"417430"|"468231"|"24848581"
520|"417431"|"468231"|"24848582"
520|"417433"|"468231"|"24848583"
|"417447"|"468231"|"24848584"
|"417430"|"468232"|"24848577"
1370|"417431"|"468232"|"24848578"
1370|"417433"|"468232"|"24848579"
|"417447"|"468232"|"24848580"
|"417430"|"468233"|"24849072"
865|"417431"|"468233"|"24849073"
865|"417436"|"468233"|"24849074"
|"417447"|"468233"|"24849075"
|"417430"|"468234"|"24848603"
465|"417431"|"468234"|"24848604"
465|"417432"|"468234"|"24848605"
|"417442"|"468234"|"24848606"
|"417430"|"468235"|"24848607"
1214|"417431"|"468235"|"24848608"
1214|"417432"|"468235"|"24848609"
|"417442"|"468235"|"24848610"
|"417430"|"468236"|"24848573"
4004|"417431"|"468236"|"24848574"
4004|"417433"|"468236"|"24848575"
|"417442"|"468236"|"24848576"
|"417430"|"468237"|"24848569"
530|"417431"|"468237"|"24848570"
530|"417433"|"468237"|"24848571"
|"417442"|"468237"|"24848572"
|"417430"|"468238"|"24848611"
438|"417431"|"468238"|"24848612"
438|"417433"|"468238"|"24848613"
|"417442"|"468238"|"24848614"
|"417430"|"468239"|"24848615"
394|"417431"|"468239"|"24848616"
394|"417435"|"468239"|"24848617"
|"417442"|"468239"|"24848618"
|"417430"|"468240"|"24848619"
216|"417431"|"468240"|"24848620"
216|"417435"|"468240"|"24848621"
|"417442"|"468240"|"24848622"
|"417430"|"468241"|"24848623"
286|"417431"|"468241"|"24848624"
286|"417435"|"468241"|"24848625"
|"417442"|"468241"|"24848626"
|"417430"|"468242"|"24848627"
289|"417431"|"468242"|"24848628"
289|"417435"|"468242"|"24848629"
|"417443"|"468242"|"24848630"
|"417430"|"468243"|"24849080"
810|"417431"|"468243"|"24849081"
810|"417436"|"468243"|"24849082"
|"417448"|"468243"|"24849083"
|"417430"|"468244"|"24848631"
7301|"417431"|"468244"|"24848632"
7301|"417439"|"468244"|"24848633"
|"417453"|"468244"|"24848634"
|"417430"|"468245"|"24848635"
577|"417431"|"468245"|"24848636"
577|"417439"|"468245"|"24848637"
|"417453"|"468245"|"24848638"
|"417430"|"468246"|"24848639"
1432|"417431"|"468246"|"24848640"
1432|"417439"|"468246"|"24848641"
|"417453"|"468246"|"24848642"
|"417430"|"468247"|"24848643"
514|"417431"|"468247"|"24848644"
514|"417439"|"468247"|"24848645"
|"417453"|"468247"|"24848646"
|"417430"|"468248"|"24848647"
918|"417431"|"468248"|"24848648"
918|"417433"|"468248"|"24848649"
|"417450"|"468248"|"24848650"
|"417430"|"468249"|"24848651"
253|"417431"|"468249"|"24848652"
253|"417433"|"468249"|"24848653"
|"417450"|"468249"|"24848654"
|"417430"|"468250"|"24848655"
1044|"417431"|"468250"|"24848656"
1044|"417438"|"468250"|"24848657"
|"417450"|"468250"|"24848658"
|"417430"|"468251"|"24848659"
3023|"417431"|"468251"|"24848660"
3023|"417438"|"468251"|"24848661"
|"417450"|"468251"|"24848662"
|"417430"|"468252"|"24848663"
558|"417431"|"468252"|"24848664"
558|"417433"|"468252"|"24848665"
|"417445"|"468252"|"24848666"
|"417430"|"468253"|"24848667"
1771|"417431"|"468253"|"24848668"
1771|"417433"|"468253"|"24848669"
|"417445"|"468253"|"24848670"
|"417430"|"468254"|"24848671"
2547|"417431"|"468254"|"24848672"
2547|"417433"|"468254"|"24848673"
2547|"417438"|"468254"|"24848674"
|"417445"|"468254"|"24848675"
|"417430"|"468255"|"24848676"
